years_by_quarter,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
1975-01-01,75.09,62.32,60.77,66.73,41.68,54.27,62.33,77.20,65.83,73.93,64.84,69.99,66.37,66.03,59.29,61.81,64.15,51.69,60.96,61.88,67.84,60.23,55.29,75.26,65.36,57.30,63.67,52.21,78.45,63.84,56.93,78.41,66,67.92,65.02,52.13,51.12,70.79,61.5,75.41,75.07,68.03,55.55,55.09,77.35,69.83,46.13,50.19,61.85,49.32
1975-04-01,72.29,64.53,60.11,60.48,42.74,54.81,62.61,89.74,83.43,72.00,53.99,65.04,62.20,60.88,63.46,62.22,65.69,55.12,88.24,62.36,66.01,62.57,55.81,72.17,73.89,56.57,62.93,52.07,54.32,59.24,58.82,75.72,67.07,59.27,64.75,53.29,51.49,69.59,66.04,69.85,70.26,68.78,58.51,57.57,77.06,66.7,47.20,65.41,62.64,47.99
1975-07-01,74.60,67.66,59.53,65.12,44.27,54.72,61.78,115.93,66.85,74.30,55.51,57.27,64.15,61.98,64.24,63.29,67.00,52.89,68.41,65.08,67.29,63.16,58.07,72.61,65.58,59.48,61.20,53.79,58.91,60.01,59.38,77.64,68.98,66.2,64.43,52.71,54.17,74.17,64.9,72.28,65.14,67.74,56.06,55.17,67.15,67.38,49.67,66.18,64.61,50.23
1975-10-01,71.76,68.48,56.48,62.60,45.77,54.91,61.97,71.89,68.24,73.66,56.12,61.93,66.73,63.36,65.70,64.57,68.31,55.63,71.14,66.77,70.25,62.31,60.00,73.15,65.14,58.49,67.99,48.77,52.68,62.83,55.78,79.78,70.49,63.22,65.99,54.69,53.41,71.85,67.13,70.11,63.85,70.93,59.36,59.81,72.73,67.74,48.01,66.73,69.04,53.71
1976-01-01,77.17,71.57,59.16,66.82,47.79,54.91,64.73,79.74,67.98,71.28,53.80,56.81,67.75,62.32,67.74,66.57,69.47,58.84,55.75,67.17,67.29,62.68,62.56,73.09,67.08,59.96,67.19,58.76,83.13,62.82,59.72,73.01,68.59,75.01,66.58,54.75,57.16,72.72,65.94,71.03,62.91,69.92,58.7,61.49,117.01,69.46,50.33,61.94,65.44,54.42
1976-04-01,74.26,71.85,62.83,68.65,50.25,59.82,64.12,84.65,75.93,73.08,56.71,74.17,70.24,65.70,70.35,67.24,68.55,58.85,70.01,69.80,69.05,64.20,62.44,74.69,77.45,65.47,67.72,59.02,66.15,63.82,61.48,74.89,69.83,72.83,68.73,60.95,56.9,76.76,68.96,77.47,65.8,68.58,63.51,61.28,57.56,68.57,53.59,66.95,65.52,55.63
1976-07-01,77.35,74.48,61.03,71.55,53.56,59.55,67.19,80.55,69.04,79.12,54.84,64.78,73.40,65.68,74.27,68.52,69.04,58.17,83.58,70.58,68.68,64.32,62.99,71.97,69.40,65.09,67.95,60.93,63.99,65.89,63.83,75.52,70.63,71.44,71.09,59.22,59.98,77.45,70.63,76.64,68.73,71.4,63.28,64.65,81.17,70.54,56.55,68.78,67.61,58.58
1976-10-01,79.73,74.24,61.22,72.28,55.58,62.09,67.86,87.02,70.36,78.37,56.47,69.61,73.05,68.61,71.33,70.42,69.35,61.73,70.65,71.71,70.22,65.63,64.48,83.38,69.17,65.62,70.49,60.96,70.93,62.05,65.42,73.87,70.71,72.83,72.37,62.29,63.53,75.16,69.59,75.68,66.63,71.62,63.05,64.01,79.54,71.98,57.77,63.02,68.34,62.99
1977-01-01,81.28,78.83,63.64,73.19,58.02,64.97,64.18,89.93,71.08,76.77,56.28,72.89,80.18,71.13,76.23,72.55,69.85,62.77,74.59,72.15,72.50,67.31,66.59,75.15,71.42,66.40,72.26,63.56,72.27,65.03,70.17,77.75,75.07,82.14,73.20,64.18,67.12,74.60,69.48,75.83,62.84,74.97,65.95,69.68,114.4,73.08,59.75,68.07,72.73,63.43
1977-04-01,83.59,77.47,64.01,75.17,63.01,65.55,68.45,77.99,79.13,76.23,59.14,75.98,83.82,71.21,78.32,75.78,73.41,65.19,80.78,73.45,69.89,68.14,68.78,77.27,81.36,72.26,73.99,64.88,69.23,65.28,70.11,82.88,73.99,85.6,75.27,63.77,69.04,80.35,72.47,79.19,70.38,77.42,71.56,70.75,82.4,75.09,62.88,85.2,76.05,64.79
1977-07-01,88.25,79.10,66.18,78.38,67.94,68.95,71.48,82.19,72.62,78.75,61.06,76.65,83.18,73.94,79.95,77.37,76.59,62.65,81.56,76.65,73.67,71.27,73.07,78.33,77.54,76.96,78.36,70.22,66.99,67.4,73.01,82.40,76.74,79.85,78.87,68.05,74.01,80.92,75.21,81.49,79.16,78.17,69.31,74.74,76.27,77.31,67.26,72.92,78.05,67.27
1977-10-01,89.28,79.32,70.13,81.13,70.66,73.00,72.42,82.87,74.85,78.61,62.91,78.65,88.69,78.13,83.50,79.61,78.49,68.50,86.59,77.16,73.47,72.66,74.79,85.97,80.24,80.16,80.02,72.51,75.79,69.39,75.94,84.53,81.58,78.16,81.18,69.83,78.14,83.42,77.47,82.92,81.51,79.68,73.4,75.09,76.84,78.94,70.75,85.45,80.93,71.30
1978-01-01,88.60,79.32,71.30,81.15,73.21,75.91,73.59,85.32,78.45,84.23,65.85,89.80,90.95,81.94,85.73,82.33,81.56,73.05,82.54,81.86,78.10,75.59,76.44,86.68,82.67,90.58,78.87,74.06,75.05,71.19,76.98,83.27,82.95,88.25,83.23,71.81,79.99,84.17,80.18,82.51,76.04,84.67,76.66,81.5,90.81,80.38,74.32,84.37,84.68,73.18
1978-04-01,88.61,86.35,74.08,83.53,76.00,79.87,79.63,89.35,83.40,81.72,65.33,90.71,98.14,84.54,89.88,84.87,83.88,73.37,91.62,83.37,79.77,79.49,82.09,87.99,92.76,89.88,85.74,79.42,75.1,73.26,78.11,87.48,83.01,84.17,86.48,78.1,84.63,87.54,81.91,86.92,84.23,83.42,78.89,84.03,92.03,83.38,79.67,80.3,87.52,76.56
1978-07-01,96.77,88.23,78.99,86.26,78.62,84.04,87.17,85.49,83.08,85.35,66.90,92.17,99.42,86.97,91.15,88.34,88.49,77.74,90.32,85.78,84.64,82.96,85.62,92.96,90.04,90.06,86.66,83.46,83.53,76.39,81.26,83.92,86.72,89.8,89.09,81.75,88.15,86.47,84.81,88.36,85.75,87.05,81.29,87.23,99.54,86.08,84.01,83.29,90.84,78.87
1978-10-01,96.37,86.85,83.14,86.37,81.80,87.41,88.23,83.76,84.69,86.34,75.12,90.07,102.01,89.60,95.38,90.15,91.71,81.97,94.32,88.31,87.42,86.81,87.61,90.44,90.96,92.74,87.07,89.36,84.95,79.54,83.79,83.81,87.22,85.95,91.42,84.7,91.97,87.80,87.64,89.8,85.63,90.61,85.52,90.13,88.54,89.27,86.87,84.69,92.65,82.37
1979-01-01,99.50,89.38,87.49,91.99,84.85,91.74,95.38,86.45,89.80,87.93,74.17,98.01,97.51,93.17,96.25,92.08,95.57,87.97,104.15,91.04,90.97,91.27,91.28,99.06,95.99,94.92,92.80,91.58,89.45,85.02,89.12,96.59,90.06,99.69,95.71,88.61,95.87,92.55,90.72,94,89.42,90.83,89.47,94.6,94.51,89.48,88.93,83.09,96.65,87.63
1979-04-01,100.24,99.86,92.61,94.87,88.62,94.54,97.52,87.04,92.42,91.12,82.13,95.82,102.49,96.41,99.48,94.12,97.65,91.92,103.13,94.76,93.76,96.08,94.41,101.83,102.59,100.17,94.18,98.21,93.29,87.1,91.89,95.85,91.61,98.6,98.57,91.01,96.12,97.02,92.46,95.95,90.7,91.89,92.76,97.54,87.51,91.61,93.86,88.79,99.70,92.43
1979-07-01,101.68,96.74,95.57,99.52,93.10,97.47,100.42,95.10,93.78,92.18,89.65,98.89,101.15,97.88,102.66,97.35,96.81,95.70,97.97,96.86,97.12,99.11,97.36,106.56,98.52,97.23,97.26,98.53,95.58,91.58,93.82,94.71,96.12,97.88,99.20,94.04,98.27,96.37,93.15,97.8,99.42,96.72,95.16,97.98,95.52,94.65,95.90,88.78,99.44,97.87
1979-10-01,107.96,97.33,99.13,101.43,96.40,99.44,101.80,96.30,98.03,95.61,92.87,101.30,99.55,97.81,101.52,97.80,99.33,97.48,105.47,98.15,98.05,99.46,99.18,93.05,100.59,104.31,98.29,99.64,96.15,94.19,95.26,98.11,96.23,100.17,100.79,96.08,100.07,98.85,100.77,100.41,90.71,96.31,96.99,99.69,108.98,95.53,98.03,94.87,100.20,96.75
1980-01-01,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100.00,100,100,100,100,100.00,100,100,100.00,100,100,100.00,100,100,100,100,100,100,100,100,100.00,100,100.00,100.00
1980-04-01,103.11,83.10,98.75,101.14,102.86,102.32,101.63,107.17,99.67,100.49,101.70,101.71,100.86,99.49,100.98,101.34,100.99,99.31,104.46,103.10,103.94,101.86,102.41,96.86,111.14,93.34,103.28,101.49,97.31,101.57,97.77,107.01,98.78,107.51,99.75,99.19,98.75,96.24,102.86,104.02,107.01,100.21,104.45,98.34,101.05,101.16,100.21,105,100.98,97.86
1980-07-01,110.00,73.73,107.28,106.94,106.55,107.12,103.81,109.98,105.89,102.07,101.32,104.54,102.41,102.07,101.60,102.19,101.15,100.96,109.39,104.92,108.39,102.83,106.64,104.29,105.06,107.90,101.69,105.12,101.99,100.81,99.12,114.72,101.21,99.8,102.11,104.04,105.41,101.55,102.04,109.32,98.03,99.39,103.91,103.64,103.8,104.32,103.53,102.7,104.97,101.42
1980-10-01,108.98,95.04,107.85,109.16,108.39,106.56,104.79,106.69,108.70,102.94,107.78,102.62,95.63,101.36,97.56,103.93,104.56,102.67,105.78,107.59,108.66,101.76,104.73,104.55,105.66,102.57,105.82,106.23,98.31,103.81,104.92,111.17,102.41,96.15,103.47,102.09,101.93,101.63,98.24,106.21,95.05,100.29,105.65,104.72,110.34,104.25,101.86,117.98,101.66,94.96
1981-01-01,105.49,89.53,108.69,109.91,110.42,106.52,104.42,109.37,110.01,107.25,102.23,110.11,101.78,103.97,95.02,98.21,107.37,106.60,119.27,110.59,112.53,103.26,100.45,94.14,103.28,95.89,102.22,108.1,97.64,104.31,101.03,111.96,106.04,103.42,103.36,103.05,97.6,101.77,94.91,113.61,92.31,96.49,104.49,106.13,110.46,106.09,100.05,99.13,102.66,107.00
1981-04-01,109.14,108.81,112.15,106.59,112.96,108.51,109.73,104.05,112.25,107.92,98.12,101.66,106.62,102.79,93.41,103.01,105.69,108.35,113.73,112.88,118.65,103.49,100.01,115.23,103.98,102.35,103.06,116.9,100.38,105.93,111.03,108.35,106.07,98.25,103.67,106.65,99.11,103.98,106.12,115.98,98.54,106.46,111.13,109.75,108.39,105.57,104.14,94.99,102.98,109.72
1981-07-01,112.44,116.63,116.72,109.20,116.34,114.54,114.22,116.21,108.03,108.73,86.86,102.83,103.09,104.82,88.07,103.23,103.27,111.15,108.75,111.30,121.49,106.28,103.53,107.47,103.09,114.38,100.46,118.12,99.27,107.59,113.95,115.60,105.95,116.83,103.25,111.98,96.26,104.45,103.6,118.02,104.17,108.38,114.44,108.37,101.26,106.23,105.23,108.48,103.27,109.85
1981-10-01,106.77,129.42,109.90,103.07,117.53,110.37,111.69,107.53,104.79,112.90,49.36,119.02,104.37,106.94,102.69,104.94,103.57,112.96,117.46,114.32,121.44,105.35,106.61,93.58,102.23,100.49,100.17,114.69,106.25,105.91,117.5,114.27,104.44,110.28,100.34,113.61,88.79,101.47,101.57,115.93,86.79,97.56,112.34,110.41,62.9,109.83,103.69,108.47,91.13,109.52
1982-01-01,109.28,136.82,105.51,103.15,104.36,119.63,111.83,102.44,113.01,113.58,112.91,93.78,95.07,104.55,95.79,103.39,106.42,110.12,105.20,106.94,123.52,104.59,89.38,103.10,103.14,105.51,106.25,119.27,106.07,105.41,105.45,123.33,106.68,99.53,89.17,116.77,96.71,103.74,105.59,119.55,68.8,105.89,122.46,106.68,122.32,97.81,86.66,68.84,86.24,111.80
1982-04-01,107.15,131.74,109.36,106.21,107.44,120.77,112.32,113.28,114.73,115.57,104.08,109.48,94.88,103.73,96.85,104.09,106.43,114.50,114.27,108.36,124.51,99.64,91.70,104.69,101.71,113.98,107.14,120.05,105.18,108.96,116.45,125.10,109.52,83.88,96.72,119.22,92.94,104.02,103.23,118.96,110.21,98.82,119.12,108.79,116.94,109.51,93.54,113.89,96.33,108.08
1982-07-01,107.75,141.16,101.60,110.95,104.91,122.52,111.05,113.36,104.76,114.37,100.41,104.43,87.17,95.38,86.15,104.83,104.59,115.24,109.77,106.72,126.40,94.56,98.73,108.55,103.66,100.94,109.23,119.92,107.25,109.18,129.84,122.33,107.53,72.94,99.13,120.15,96.15,104.48,102.86,120.6,106.64,105.75,118.15,111.84,108.22,103.77,93.83,83.88,98.54,109.26
1982-10-01,115.61,137.24,108.81,108.61,115.88,126.44,112.98,116.13,112.86,116.47,85.26,111.02,102.50,103.93,94.61,105.00,107.02,115.08,113.10,110.92,127.90,87.76,105.97,108.39,104.03,113.57,108.80,122.48,106.39,109.64,123.45,126.38,112.01,98.77,103.00,123.21,102.54,105.32,108.44,120.51,118.61,103.69,120.96,113.89,113.97,112.84,103.57,86.58,99.44,112.16
1983-01-01,114.71,139.18,119.06,113.31,116.73,126.17,118.79,116.72,121.42,117.74,102.38,110.58,100.91,105.99,98.20,105.99,108.52,116.04,114.17,113.48,130.08,96.64,109.67,112.49,105.48,99.21,108.89,118.73,108.87,110.11,128.28,128.67,112.87,99.32,102.35,124.26,98.52,108.74,109.56,124.18,100.75,110.33,125.61,114.27,118.28,115.34,104.77,98.25,103.91,111.12
1983-04-01,114.55,140.50,119.25,116.51,117.43,125.21,121.09,119.03,123.77,118.54,106.40,106.79,104.32,106.04,99.13,108.54,109.62,117.04,119.68,115.52,135.89,97.10,111.57,112.67,108.10,105.22,109.20,117.96,111.86,113.77,121.65,132.70,111.25,107.02,105.40,125.98,100.31,110.48,111.39,121.68,121.53,110.66,125.86,115.33,112.63,118.08,104.72,92.04,106.25,106.00
1983-07-01,116.92,146.80,115.51,118.36,117.26,126.35,122.52,122.38,124.19,121.12,112.38,106.79,105.58,105.73,98.68,106.32,109.98,115.67,125.35,116.70,142.81,97.28,111.41,110.61,111.58,110.66,111.42,119.53,115.59,117.67,123.24,138.15,114.07,89.7,106.12,127.05,99.2,112.93,119.04,124.75,100.9,112.25,125.69,111.56,118.17,118.83,103.98,92.67,105.92,103.14
1983-10-01,113.76,146.38,113.16,118.36,117.79,121.99,126.24,127.97,124.53,120.83,106.31,108.34,106.74,105.23,98.43,107.42,109.09,116.42,131.09,118.12,148.16,95.14,109.21,115.67,112.57,114.87,112.01,115.01,117.8,120.88,125.26,147.02,115.45,107.33,105.69,126.64,98.54,113.80,120.84,120.98,99.07,113.83,126.18,112.63,123.46,118.68,104.93,91.96,105.97,98.98
1984-01-01,123.64,150.34,117.67,120.67,119.51,126.19,131.12,125.32,125.69,124.38,108.26,110.30,107.48,105.18,98.70,107.51,112.68,116.57,132.33,118.79,156.24,97.56,113.38,118.51,113.15,123.72,110.41,119.98,121.76,123.88,123.63,150.58,118.13,118.66,106.10,122.42,98.77,113.77,119.26,127.68,113.61,110.2,125.11,112.15,121.81,121.41,106.82,97.95,106.12,100.35
1984-04-01,120.28,148.06,121.86,118.88,120.13,125.52,134.59,128.68,126.74,126.63,113.52,108.86,110.26,107.78,100.68,107.84,110.56,117.22,138.69,122.80,164.54,97.16,113.50,115.32,115.27,121.09,112.79,118.1,127.33,130.2,120.94,156.49,122.36,112.71,107.26,122.55,97.75,116.89,120.92,126.21,109.53,116.33,126.23,114.06,123.87,123.28,107.52,93.58,107.94,95.82
1984-07-01,124.84,154.78,123.02,119.65,121.71,125.74,140.29,131.88,128.03,124.46,110.19,110.22,110.90,106.75,99.37,107.44,112.67,115.93,142.60,124.22,174.40,97.26,115.41,113.01,118.96,115.92,112.31,113.22,133.05,134.99,125.93,162.04,121.71,115.19,107.32,120.46,96.04,118.71,126.94,124.05,117.9,109.65,128.62,114.77,126.22,124.89,109.31,94.27,108.10,98.54
1984-10-01,121.38,152.92,122.60,121.13,122.79,123.43,141.81,133.87,126.39,129.31,109.22,113.45,112.46,108.91,101.00,107.30,112.64,114.60,140.14,124.69,180.55,97.49,115.59,114.42,119.03,112.73,111.44,116.62,137.11,138.22,126.68,169.10,124.96,109.72,107.53,120.09,99.32,119.60,128.53,128.35,106.9,119.04,128.05,112.11,126.97,124.49,110.05,86.74,106.31,95.95
1985-01-01,121.53,144.99,125.22,121.26,124.54,126.32,148.35,136.92,127.85,131.76,114.74,108.26,113.27,109.74,101.59,108.48,114.15,111.58,145.77,126.71,190.20,99.69,116.63,120.09,120.24,116.23,111.44,117.28,141.45,142.24,126.2,176.11,127.81,109.78,108.18,119.11,97.99,121.15,131.3,131.26,110.42,121.05,126.66,116.57,129.56,127.51,110.53,91.85,107.99,97.26
1985-04-01,124.72,145.57,125.71,119.98,126.34,125.53,155.49,140.84,128.22,128.84,113.05,113.97,114.67,111.34,101.54,108.97,115.33,113.16,150.39,128.60,204.58,100.80,118.09,122.14,123.45,110.54,112.98,117.58,151.73,148.51,126.17,184.45,130.2,110.46,109.41,117.29,97.88,124.27,137.64,131.54,108.96,121.89,127.75,115.96,134.3,129.65,110.92,95.3,109.77,95.25
1985-07-01,127.50,146.08,127.39,124.14,129.20,126.59,160.05,143.32,128.13,135.20,117.00,115.10,116.04,111.93,103.09,109.53,114.72,113.21,156.31,130.84,217.57,102.70,115.45,122.85,125.47,116.46,113.12,118.19,159.35,155.03,128.14,190.99,133.04,114.19,110.69,117.52,96.94,126.74,142.01,132.33,112.88,124.25,127.68,116.29,136.22,131.52,111.59,92.73,110.73,94.13
1985-10-01,128.42,142.11,128.98,124.39,130.60,124.20,168.84,145.82,129.84,137.84,118.03,112.65,118.01,113.63,102.25,110.29,116.95,110.77,164.39,131.08,231.93,103.80,119.75,122.87,126.34,118.84,114.21,118.95,169.57,161.95,128.14,198.48,134.83,109.05,111.56,114.43,97.19,128.44,150.57,132.74,112.77,125.75,126.45,115.13,139.11,132.3,112.13,88.54,110.82,94.27
1986-01-01,129.63,142.96,131.59,125.70,132.29,128.80,174.51,151.16,131.24,140.14,119.94,115.26,119.78,114.93,103.34,112.50,118.65,113.69,167.20,133.73,241.25,105.45,121.16,123.95,127.42,118.11,115.45,121.26,177.73,168.01,130.07,206.38,136.01,113.27,113.05,116.36,97.95,131.45,154.78,135.97,117.05,128.48,129.46,119.15,144.36,134.56,113.47,95.46,112.39,97.43
1986-04-01,131.99,145.35,135.53,128.74,134.83,129.52,185.40,154.60,134.69,141.99,120.16,112.96,122.41,116.97,103.89,113.00,120.67,114.39,173.22,137.58,253.26,108.80,120.33,125.97,129.35,114.75,115.59,123.69,186.1,178.11,132.73,217.00,138.64,112.38,114.58,117.48,98.73,135.15,162.45,136.99,118.05,130.47,131.51,118.86,146.57,137.02,114.20,96.43,113.68,97.83
1986-07-01,133.54,140.81,135.53,126.71,137.78,128.67,199.38,159.35,135.61,143.70,121.06,114.43,125.15,118.67,104.35,114.07,120.82,111.76,180.60,141.05,265.61,112.08,123.93,124.14,131.92,115.77,115.59,124.13,194.79,189.25,132.26,226.86,141.09,111.89,116.43,113.19,99.51,139.76,173.59,138.89,113.9,132.66,128.83,118.21,152.43,140.02,114.74,95.7,113.99,94.82
1986-10-01,136.07,137.46,133.13,128.21,141.14,127.98,212.65,164.76,135.80,146.07,123.98,114.95,128.08,120.20,103.97,114.53,123.50,110.68,188.72,144.79,278.25,114.56,123.78,124.82,134.04,116.07,117.00,123.54,205.84,199.15,132.91,237.07,142.86,109.73,117.98,111.68,97.83,144.38,189.89,141.02,117.08,134.59,126.51,117.9,158.43,142.45,115.94,98.17,114.47,90.66
1987-01-01,138.19,134.01,137.91,129.25,144.76,129.70,224.92,171.26,136.47,148.50,128.03,116.34,130.53,121.93,105.47,115.36,125.00,110.75,196.08,148.93,287.79,117.53,126.66,126.25,135.84,110.67,117.53,126.45,211.16,210.17,134.87,246.45,145.61,113.43,120.21,111.62,99.99,149.18,203.38,143.66,120.73,138.08,126.82,119.24,163.32,145.5,117.09,97.1,115.36,93.06
1987-04-01,139.24,124.55,136.79,130.85,148.31,128.18,237.36,175.40,138.62,150.17,131.03,113.98,135.24,123.42,105.48,117.23,126.28,110.31,203.93,153.28,295.05,121.47,128.89,126.19,138.84,113.30,116.90,125.65,220.12,221.35,133.5,255.05,147.15,110.86,122.65,108.35,100.37,155.20,215.1,145.11,118.44,140.55,123.07,117.84,168.64,149.53,118.07,98.83,116.67,87.72
1987-07-01,139.83,116.30,135.85,127.71,152.98,125.50,250.20,182.50,138.81,151.84,133.12,110.56,138.41,124.93,105.56,116.88,129.12,104.91,214.19,160.12,303.75,124.08,130.26,124.45,140.34,111.55,115.47,125.3,222.3,230.03,131.99,266.74,149.63,110.97,125.09,102.95,99.45,162.82,230.96,145.11,117.61,140.84,118.26,113.64,173.48,156.81,118.94,95.86,118.22,82.89
1987-10-01,138.47,105.27,133.63,124.12,157.30,124.41,257.55,187.34,139.81,152.58,136.11,110.45,140.32,125.35,102.39,116.14,129.30,104.81,221.85,162.52,306.20,126.11,129.33,123.65,140.86,105.54,116.06,124.38,226.78,235.36,130.99,270.67,150.63,110.66,126.34,100.48,98.76,168.44,240.85,145.91,119.16,142.76,114.64,112.69,181.54,160.3,119.68,97.29,119.49,78.97
1988-01-01,142.15,121.09,134.91,126.58,163.08,125.45,263.37,190.12,141.27,154.76,144.35,113.28,143.32,128.11,104.58,116.61,131.68,101.98,227.69,167.94,309.69,127.92,131.61,122.45,140.76,110.10,117.08,125.62,226,240.43,130.64,277.04,151.73,107.66,128.51,98.31,100.76,171.76,248.95,148.39,115.11,143.91,114.67,112.79,186.73,164.97,121.97,96.51,120.29,81.13
1988-04-01,143.18,115.51,136.24,127.54,169.78,125.07,267.58,195.71,144.24,156.59,151.62,114.04,147.88,129.82,106.21,117.74,132.78,102.40,229.50,173.86,314.92,131.15,133.45,124.27,142.86,110.94,117.80,126.59,228.68,246.47,130.24,280.52,154.12,109.48,131.20,99.31,101.48,179.00,252.35,150.42,115.61,144.67,116.62,114.23,194.77,170.54,123.79,99.86,122.29,76.46
1988-07-01,142.83,126.79,134.28,126.78,177.85,123.87,265.81,201.36,145.35,156.90,155.87,111.94,151.23,130.42,108.41,116.76,135.01,101.12,236.46,179.48,313.72,133.31,133.40,122.13,143.74,114.24,118.55,128.1,228.63,247.23,131.27,282.59,155.7,110.11,132.38,97.48,105.05,183.76,254.84,151.56,118.54,144.7,113.96,112.05,201.13,174.61,126.35,98.66,124.47,81.14
1988-10-01,141.47,132.40,134.51,126.28,187.58,123.46,266.35,206.38,146.56,156.80,166.85,111.74,152.54,131.74,107.90,118.37,136.31,99.74,237.49,183.72,316.08,134.49,134.20,124.10,143.60,113.40,118.25,129.71,228.36,246.41,129.81,283.40,156.28,105.41,133.59,97.86,105.65,185.44,256.85,152.21,116.58,144.35,113.1,112.32,203.33,178.17,127.87,97.83,125.11,81.27
1989-01-01,141.60,128.94,133.29,127.27,196.38,123.47,261.70,209.73,147.71,157.85,178.80,115.13,155.59,132.87,109.97,117.40,137.91,100.53,238.85,188.32,313.35,136.53,134.65,119.66,143.60,111.63,119.47,129.82,228.91,245.94,130.41,283.16,156.76,109.13,135.23,98.46,107.96,187.71,258.99,154.66,120.68,145.27,113.33,113.36,206.69,181.42,132.24,99.05,127.41,77.14
1989-04-01,143.51,104.57,132.78,126.90,206.03,124.40,261.50,216.44,148.66,158.30,183.93,116.06,158.56,134.71,111.11,119.45,138.85,100.56,241.82,193.07,311.31,139.38,136.48,123.69,145.25,112.57,120.54,132.19,225.53,245.37,131.1,282.64,157.57,108.43,136.57,99.92,110.45,189.04,260.16,154.76,117.08,146.24,114.33,113.1,211.93,185.36,137.92,101.4,128.86,83.82
1989-07-01,145.67,104.33,134.88,128.12,217.94,126.90,262.36,221.57,151.15,160.35,196.61,117.66,162.10,137.06,113.20,119.09,141.80,102.35,244.25,196.58,316.03,142.68,138.52,125.97,146.09,115.26,121.79,135.6,229.51,246.64,133.11,285.67,160.36,110.93,139.49,101.5,113.79,193.22,266.04,158.22,121.84,146.84,116.57,115.57,216.3,187.97,144.46,101.25,131.02,83.44
1989-10-01,146.74,102.32,134.10,127.17,224.78,126.42,261.35,222.92,152.29,161.48,203.10,118.41,164.03,137.57,114.17,119.68,142.39,102.22,246.44,199.81,316.73,143.25,139.23,124.85,146.75,116.72,122.72,137.49,229.71,247.39,135.16,286.32,160.84,111.88,140.51,100.66,116.63,195.58,267.19,158.6,119.3,146.95,116.3,115.46,217.48,189.31,153.18,101.01,131.81,83.47
1990-01-01,145.62,98.97,133.92,127.86,227.56,127.02,257.45,226.34,153.01,160.96,218.14,120.46,165.89,138.42,115.72,119.57,142.96,101.64,243.35,202.20,312.73,145.38,139.28,126.46,146.85,115.09,123.68,140.13,225.08,244.3,132.09,286.32,161.17,111.35,142.04,100.5,120.75,195.89,264.24,160.17,119.78,147.43,116.04,116.45,215.39,189.27,164.27,102.19,133.86,87.95
1990-04-01,146.83,112.78,133.03,128.06,228.28,128.09,249.63,225.55,152.48,159.52,231.61,125.12,167.74,139.79,117.17,119.01,144.19,102.53,238.82,202.85,303.67,147.69,139.29,124.63,146.66,117.08,125.70,142.39,215.6,239.09,133.3,283.09,161.58,111.08,143.34,101.53,126.97,196.18,259.8,161.62,125.43,147.22,116.92,118.02,216.85,189.57,173.57,101.93,136.00,85.57
1990-07-01,147.42,122.26,134.23,128.80,230.23,129.06,247.04,223.91,153.42,160.57,242.44,127.98,169.70,141.09,118.77,119.22,145.21,103.07,234.63,203.87,298.57,148.60,140.08,125.94,146.88,121.94,126.91,146.03,210.66,235.79,134.58,281.45,163.04,112.62,145.33,101.44,131.7,196.72,260.21,163,126.03,147.02,117.75,118.96,214.83,188.97,176.43,105.04,137.84,91.20
1990-10-01,147.58,120.26,132.88,128.30,228.67,129.34,240.33,223.83,152.85,159.43,251.81,127.00,170.17,141.57,119.73,118.80,144.87,103.58,236.95,202.68,291.47,148.97,140.03,124.75,145.66,122.35,126.99,147.59,203.6,231.9,135.08,278.50,162.96,111.34,145.68,101.13,134.07,196.00,254.77,161.92,125.41,146.54,116.86,118.88,216.24,186.82,177.68,103.77,138.13,89.54
1991-01-01,148.86,124.56,134.93,129.58,228.59,130.81,239.94,227.23,154.58,161.21,257.57,130.41,172.22,143.75,121.32,119.27,147.28,103.01,230.47,204.05,288.44,150.75,142.04,127.34,147.33,120.41,128.18,150.83,200.83,230.82,136.12,278.10,163.92,113.38,147.35,102.87,136.35,197.57,255.39,163.75,127.99,147.83,118.29,122.55,213.21,187.95,181.96,104.03,140.07,90.11
1991-04-01,151.06,127.60,135.91,130.25,227.17,132.47,236.52,227.98,155.03,161.72,260.19,130.81,174.04,144.95,122.64,120.10,148.50,105.35,233.64,206.20,285.50,152.78,143.15,126.19,148.12,124.46,129.56,151.82,197.76,229.16,137.56,279.92,165.1,114.52,149.38,104.13,139.51,199.15,250.02,165.37,131.49,148.53,119.51,124.78,213.68,188.54,183.59,107.27,142.08,93.45
1991-07-01,151.90,131.54,135.35,131.45,227.17,133.64,233.83,228.07,154.79,161.31,260.17,133.60,175.27,146.03,123.74,120.34,149.27,106.32,229.82,205.61,282.23,153.99,143.52,126.54,148.52,126.50,130.74,152.54,193.56,227.84,138.31,279.02,165.48,114.85,150.41,104.41,141.92,199.27,247.08,166.38,130.21,148.87,119.64,124.87,213,187.09,184.34,106.18,144.23,94.88
