state,year,quarter,price
AK,1990,4,120.26,,,,
AK,1991,1,124.56,,,,
AK,1991,2,127.6,,,,
AK,1991,3,131.54,,,,
AK,1991,4,131.66,,,,
AK,1992,1,133.49,,,,
AK,1992,2,134.71,,,,
AK,1992,3,135.41,,,,
AK,1992,4,135.93,,,,
AK,1993,1,135.77,,,,
AK,1993,2,136.3,,,,
AK,1993,3,138.78,,,,
AK,1993,4,139.54,,,,
AK,1994,1,140.7,,,,
AK,1994,2,143.88,,,,
AK,1994,3,145.85,,,,
AK,1994,4,144.85,,,,
AK,1995,1,147.11,,,,
AK,1995,2,149.62,,,,
AK,1995,3,151.14,,,,
AK,1995,4,151.62,,,,
AK,1996,1,154.03,,,,
AK,1996,2,156.51,,,,
AK,1996,3,157.01,,,,
AK,1996,4,159.03,,,,
AK,1997,1,158.89,,,,
AK,1997,2,160.16,,,,
AK,1997,3,161.41,,,,
AK,1997,4,163.55,,,,
AK,1998,1,163.28,,,,
AK,1998,2,166.03,,,,
AK,1998,3,167.55,,,,
AK,1998,4,167.3,,,,
AK,1999,1,169.24,,,,
AK,1999,2,172.9,,,,
AK,1999,3,172.53,,,,
AK,1999,4,172.63,,,,
AK,2000,1,172.42,,,,
AK,2000,2,174.58,,,,
AK,2000,3,175.72,,,,
AK,2000,4,176.17,,,,
AK,2001,1,179.31,,,,
AK,2001,2,183.07,,,,
AK,2001,3,185.68,,,,
AK,2001,4,185.97,,,,
AK,2002,1,188.89,,,,
AK,2002,2,194.32,,,,
AK,2002,3,195.61,,,,
AK,2002,4,195.14,,,,
AK,2003,1,196.43,,,,
AK,2003,2,199.56,,,,
AK,2003,3,204.09,,,,
AK,2003,4,212.11,,,,
AK,2004,1,213.39,,,,
AK,2004,2,218.53,,,,
AK,2004,3,229.83,,,,
AK,2004,4,232.19,,,,
AK,2005,1,238.06,,,,
AK,2005,2,246.93,,,,
AK,2005,3,255.85,,,,
AK,2005,4,263.56,,,,
AK,2006,1,267.86,,,,
AK,2006,2,274.36,,,,
AK,2006,3,279.6,,,,
AK,2006,4,281.16,,,,
AK,2007,1,285.12,,,,
